Nuclei_Location_Center_X,Nuclei_Location_Center_Y
483.421382289417,19.238444924406053
337.305629013978,23.55704571212695
685.962626884035,30.2556136573362
151.87744,32.24192
597.79481322225,33.7186240257995
212.84928923701756,33.78677110530895
307.3270849273145,41.37031369548585
50.100174216028,45.14096980255515
320.842692584593,50.761699064075
626.16488946684,58.930299089727
420.245580808081,62.318497474747495
437.393558951965,71.193231441048
808.8901412275951,80.26520912547551
740.737352605555,94.81285659946751
268.773018928457,107.820981713186
117.475038520801,112.76594761171049
765.351634683725,117.4198649609095
691.02903560318,116.487210508123
405.536082474227,118.5973317161915
560.37871735195,122.976726144298
224.0349514563105,123.4368932038835
209.557395143488,128.6832229580575
59.483463035019504,132.060505836576
394.153100775194,133.3715393134
236.32531953743145,153.6525664434975
832.916021782745,162.157638291774
702.5754953599201,164.730499122147
937.01139351446,166.916739702016
629.1876022244049,187.41887471377152
723.91528741769,191.61105178857449
70.9755209640975,201.230354004519
996.7339380196499,203.101095993953
418.3443201883461,205.931135962331
900.7020997375349,211.1778215223095
524.56061374588,210.59256910981497
292.9929221435795,221.4558897876645
780.735907759885,215.0953513909225
759.348383280755,231.84424290220798
995.2929136566901,233.0732714138285
211.452657807309,244.592054263566
362.834762979684,256.2945823927765
607.55917039447,257.892232614884
845.15731912507,273.76332024677504
477.582490901739,284.9280226445615
432.987146529563,287.4050985432735
627.5834340991549,289.75675130995546
899.646706586825,289.676489127009
580.25292334344,312.64508445214403
382.98331220954805,315.1404731727925
836.32750672301,315.61064156742196
599.8386970172701,344.65521978022
905.17654028436,346.64484597156405
787.551811919735,360.163222521713
1014.17252396166,365.5573482428115
890.80048154093,369.2394863563405
979.500875656745,376.273555166375
250.37789046653148,393.403448275862
827.308692120225,391.25284321689696
225.632427536232,398.8516304347824
508.37903003582494,398.9320749517775
365.77393531860395,400.07620877361495
842.2231726283051,407.6524105754275
928.14245660881,407.3032042723629
1045.034115523465,403.562454873646
1025.933086648165,419.18825161887156
200.585557837098,420.401950718686
492.3277528477735,440.838798757335
260.892939370683,437.6930161166539
946.91329011345,438.592035193332
416.9777108433735,441.9539156626505
433.2220229555235,448.710545193687
342.6491167301695,453.608417041912
164.19328896283952,470.4600665557405
522.91555370061,474.958820255982
919.65487030905,475.1724613686535
263.531124228602,485.828548430373
1042.1758517034052,488.6718436873745
1053.8981324278448,509.342317487265
496.51866618339994,513.5068865531
639.55745283019,516.631320754715
586.76392730146,514.4047807190849
424.65465729349745,521.062829525485
984.506800368835,518.721761180265
374.9792136641961,534.20576861102
273.894465894466,536.657014157015
168.151534691772,539.55842145989
633.1803770351349,546.2480719794349
943.040372670805,545.123506927855
575.402499644935,550.22411589263
682.493700467385,558.621316805525
1021.3609145345648,565.8406369080001
75.609322293775,570.297608095675
457.2886579139315,572.77935813275
527.811156123405,576.439856653165
616.31896190875,579.572833821685
224.666857798165,581.70470183486
195.39599555061199,595.9825732295152
150.2137404580155,599.1208651399501
230.389756097561,600.4039024390249
344.0181110812985,600.297290045615
408.9660641829585,605.253412025085
1053.682228915665,604.75485274431
577.402353530295,625.73347521282
1040.656586216925,632.14713579529
291.2451657458565,632.960980662985
972.7079445145,640.56708701135
373.21103461464895,647.1035570854848
941.86916936892,649.03517086555
102.387437027708,674.9137279597
61.7079322294955,686.599345398535
1001.3232104121499,687.5495300072299
238.8254901960785,694.5593137254903
817.1807207837651,698.306158152555
892.8970424727601,695.12641761174
966.6134991119001,701.00941385435
293.488383045526,710.552590266875
235.958141674333,714.795538178475
183.680654338549,719.0759246088201
804.757403581265,733.4636707989
1028.546995377505,739.6457627118652
390.794362842398,754.0720524017449
893.7017745645752,755.4278672362799
962.5112716763,758.1471676300599
50.845419847327996,764.350954198475
510.68583806394,765.8057962354352
222.92005813953503,770.887666112955
852.73348603517,773.17541007832
323.125865324103,772.19697923222
767.7179062055901,784.892704879205
134.9591339648175,787.650338294995
801.95104761905,792.59295238095
10.6637554585153,794.41630276565
28.6983450351053,798.99674022066
402.567415730337,806.50251840372
1002.09543163713,806.325475532435
288.15231700895197,820.45392311743
460.4562841530055,823.1086467373849
896.11677336748,823.493597951345
1023.2684782608701,823.927898550725
960.4908221303,833.4055067218201
1021.25642965204,842.351550680785
24.666245259165606,837.08807416772
229.54689092762501,842.552667346245
358.92564023449546,842.18312249306
569.442313366775,844.5008852168802
82.08690744920999,854.61754272815
209.117231112765,858.949385932265
317.38798190401246,861.221479150275
784.328929205285,864.6495760205099
919.7796852646652,864.382403433475
147.247927358863,876.5894196604802
419.7614045618245,882.84093637455
1001.89637374272,896.48994176813
416.84866310160453,900.61229946524
472.04657705533,901.44326351985
101.140865737344,907.5385179750552
551.0025473071299,911.68577147016
712.569847442415,914.771911456775
380.1588915470495,915.8811802232848
89.119757174393,920.385209713025
883.934280936455,922.646321070235
135.0257623554155,924.084121976865
203.65536585365848,926.56951219512
945.57106769956,930.1104749073752
245.41752749083648,935.346884371875
306.875314861461,937.46111460957
134.146248534584,940.405627198125
50.003866976024504,941.90177880897
835.320809248555,948.1641893751699
58.687594553706504,958.77950075643
1020.66386554622,964.0910776075152
498.54108885464797,958.2031330251652
245.93126542121948,967.411702502645
188.439972401104,966.327506899725
361.4636002647254,970.24983454666
478.86379848417295,984.005795809185
345.354512448133,984.3827800829903
16.4754552652415,989.3976642913699
723.5589165678151,988.968762356665
81.0375816993465,991.1531862745101
140.908313908314,1001.83313908314
783.34835630965,1004.75980911983
224.46935769004105,1011.47142015321
268.0873507805325,1022.6796372819099
205.148239349914,1028.056882541245
